Race,Age
Hispanic,24
Black,32
White,65
Hispanic,37
White,33
Black,63
White,30
Black,40
Black,38
Black,50
Black,41
Hispanic,41
Black,39
White,44
White,23
White,32
White,56
Black,33
White,63
White,31
White,26
White,57
White,39
White,43
Black,42
Black,29
White,56
Hispanic,31
Black,50
Other,36
White,50
Hispanic,34
Black,49
Black,31
White,36
Native American,29
Black,32
Black,18
White,50
Hispanic,36
White,33
Black,17
Black,19
White,24
Hispanic,24
White,20
Hispanic,41
Black,47
Black,18
Hispanic,31
Black,27
Hispanic,36
White,59
White,40
White,32
Hispanic,38
Asian,18
Black,23
White,43
White,67
White,22
White,31
Black,43
White,34
White,51
White,31
White,54
White,69
White,58
Black,26
White,59
Black,25
Black,20
White,69
Black,57
White,56
White,64
Hispanic,34
White,45
Hispanic,14
White,44
White,54
White,59
Hispanic,33
Hispanic,22
White,49
Hispanic,36
Black,23
Hispanic,38
White,53
Hispanic,29
White,42
Hispanic,25
Black,18
White,55
White,36
White,32
White,53
Black,30
Black,27
Hispanic,37
White,29
White,40
White,36
White,38
White,29
White,59
Hispanic,47
Hispanic,22
White,31
White,29
White,54
Hispanic,71
Hispanic,36
Black,34
White,49
Hispanic,36
White,43
White,53
Black,31
Hispanic,32
White,41
Hispanic,26
White,82
White,37
Black,24
White,56
White,35
Black,22
White,59
White,36
White,21
White,38
White,60
White,18
Hispanic,23
Hispanic,38
White,22
Black,38
Black,25
White,25
White,36
Hispanic,44
Black,36
Hispanic,35
White,25
Hispanic,31
White,70
White,25
Black,55
White,35
Black,25
White,32
Hispanic,38
Hispanic,32
White,64
Black,55
White,69
White,37
Black,31
Black,25
Hispanic,25
Black,13
Hispanic,32
White,34
White,69
Black,40
Native American,29
White,29
White,42
Black,25
White,45
White,55
Other,22
Black,61
White,46
White,30
White,56
White,35
White,22
White,23
Black,43
White,43
White,49
White,23
White,41
Black,33
Hispanic,30
White,25
White,52
White,32
White,46
White,48
Black,38
White,26
Black,32
Hispanic,28
White,53
White,38
Black,18
Black,32
White,37
Black,18
Black,20
White,28
Black,18
Hispanic,16
Black,36
White,57
White,49
Hispanic,31
White,26
White,51
White,28
White,35
Black,57
White,36
White,42
White,49
White,62
Hispanic,21
White,53
Black,41
White,40
Hispanic,27
Native American,19
White,26
Asian,44
White,30
White,31
Black,33
White,22
White,46
White,38
White,23
Hispanic,24
White,26
White,26
White,32
Hispanic,50
White,17
White,39
Black,28
Black,66
Hispanic,42
White,34
White,38
Hispanic,28
White,29
White,58
Native American,23
White,21
White,45
White,38
Black,40
Black,19
Black,46
White,25
White,25
White,37
Black,25
White,36
White,32
Black,33
Hispanic,24
White,37
Black,38
Asian,45
Black,31
White,34
Hispanic,23
Black,39
Hispanic,55
White,31
White,76
White,59
White,40
Black,23
Hispanic,26
Hispanic,35
White,49
White,36
White,56
White,34
Hispanic,33
White,43
White,43
White,31
White,17
White,32
Black,31
White,19
Hispanic,23
White,26
Hispanic,45
White,36
Hispanic,41
White,53
White,24
White,40
Hispanic,29
Hispanic,22
Hispanic,21
Black,25
White,37
Hispanic,37
White,56
White,35
Black,25
Black,25
Black,26
Hispanic,29
Asian,15
Black,21
Hispanic,24
White,18
Black,19
White,27
Hispanic,45
Black,36
Black,34
Black,23
White,43
White,43
Black,19
Black,37
Black,23
Hispanic,26
Hispanic,20
White,50
White,59
Black,33
Black,48
Other,18
Hispanic,23
Black,41
White,41
White,55
White,29
White,31
Black,25
Black,38
White,83
White,22
White,33
White,36
Asian,26
Black,29
White,55
White,47
White,52
White,49
Black,31
White,37
Black,37
White,36
Other,30
White,35
Black,35
White,36
White,53
White,39
Hispanic,30
White,44
White,24
Hispanic,73
White,31
Black,28
Black,18
Black,32
White,60
White,48
Hispanic,33
